#;#;#;#;#;#;#;#;#;#;#;#;#;#;x
EVTNAME811100;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;$COUNTRY$ and the Crown;x
EVTDESC811113;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;The Prime Ministers of the Dominions and the United Kingdom have agreed that the British Parliament will pass a new Imperial Act, the Statute of Westminster, which will remove the ability of the Imperial assembly to legislate for the Dominions without their prior consent. This will formally affirm the principles of self-government under which the dominions have been operating, and mark the de jure legislative independence of the Dominions from Britain. However, it will be at the prerogative of Dominion Parliaments to ratify this Statute before its provisions apply.;x
EVTOPTA811113;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;A turning point for the Empire;x
EVTOPTB811113;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;I don't think this is the time;x
EVTNAME811114;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;The Independence of $COUNTRY$;x
EVTDESC811114;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;With a monarch nominally upon our throne, and historical ties to the United Kingdom, our constitutional status vis-a-vis the British Empire has been called into question.;x
EVTOPTA811114;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;We are an independent nation;x
EVTOPTB811114;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;We are a Dominion;x
EVTOPTC811114;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;We are an independent monarchy;x
EVTNAME811115;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;$FROMCOUNTRY$ Seeks Foreign Autonomy;x
EVTDESC811115;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;A delegation from the government of $FROMCOUNTRY$ has approached our foreign office, seeking to negotiate an arrangement that will allow their nation to conduct its own diplomatic affairs. It is clear that the people of $FROMCOUNTRY$ have given their government a mandate to act on this matter, and the $FROMCOUNTRY_ADJ$ delegation stresses that they do not wish to give up their historical ties to our country. Times have changed, and the international community would frown upon any act on our part to deny the $FROMCOUNTRY_ADJ$ people a right to determine their own future.;
EVTOPTA811115;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;Let us work something out;x
EVTOPTB811115;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;$FROMCOUNTRY$ was, is and shall always be $COUNTRY_ADJ$!;x
british_empire_games_title;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;The British Empire Games;x
british_empire_games_desc;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;Melville Marks "Bobby" Robinson, a sports reporter from Hamilton, Ontario, helped to organise the first British Empire Games in 1930 -- a multi-sport competition in the style of the Olympics open to all members of the Empire. Teams from England, the colonies, and the various dominions and home countries came to Hamilton to compete in the first Games. Events included track and field, bowling, boxing, rowing, swimming and wrestling (women competed only in the swimming events). Following the success of the Hamilton Games a second Games was held in London four years later.;x
